app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
10,Counter-Strike,01/11/00,Action,1980s | 1990's | Action | Assassin | Classic | Competitive | FPS | First-Person | Military | Multiplayer | Nostalgia | Old School | PvP | Score Attack | Shooter | Strategy | Survival | Tactical | Team-Based | eSports,Play the world's number 1 online action game. Engage in an incredibly realistic brand of terrorist warfare in this wildly popular team-based game. Ally with teammates to complete strategic missions. Take out enemy sites. Rescue hostages. Your role affects your team's success. Your team's success affects your role.,windows | mac | linux,Family Sharing | Multi-player | Online PvP | PvP | Shared/Split Screen PvP | Valve Anti-Cheat enabled,7.19,235403,6207,Overwhelmingly Positive,241610,0.974309838,88,153259,FALSE
20,Team Fortress Classic,01/04/99,Action,1990's | Action | Class-Based | Classic | Co-op | Competitive | FPS | Fast-Paced | First-Person | Funny | Hero Shooter | Mod | Multiplayer | Old School | Online Co-Op | Remake | Retro | Shooter | Team-Based | Violent,"One of the most popular online action games of all time, Team Fortress Classic features over nine character classes -- from Medic to Spy to Demolition Man -- enlisted in a unique style of online team warfare. Each character class possesses unique weapons, items, and abilities, as teams compete online in a variety of game play modes.",windows | mac | linux,Family Sharing | Multi-player | Online PvP | PvP | Remote Play Together | Shared/Split Screen PvP | Valve Anti-Cheat enabled,3.99,7315,1094,Very Positive,8409,0.869901296,,6268,FALSE
30,Day of Defeat,01/05/03,Action,Action | Class-Based | Classic | Co-op | Difficult | FPS | First-Person | Historical | Military | Multiplayer | Old School | Retro | Shooter | Singleplayer | Strategy | Tactical | Team-Based | Violent | War | World War II,"Enlist in an intense brand of Axis vs. Allied teamplay set in the WWII European Theatre of Operations. Players assume the role of light/assault/heavy infantry, sniper or machine-gunner class, each with a unique arsenal of historical weaponry at their disposal. Missions are based on key historical operations.",windows | mac | linux,Family Sharing | Multi-player | Valve Anti-Cheat enabled,3.99,6249,672,Very Positive,6921,0.902904205,79,4146,FALSE
40,Deathmatch Classic,01/06/01,Action,1990's | Action | Arena Shooter | Classic | Co-op | Competitive | Difficult | FPS | Fast-Paced | First-Person | Gore | Multiplayer | Old School | Retro | Sci-fi | Shooter | Singleplayer,"Enjoy fast-paced multiplayer gaming with Deathmatch Classic (a.k.a. DMC). Valve's tribute to the work of id software, DMC invites players to grab their rocket launchers and put their reflexes to the test in a collection of futuristic settings.",windows | mac | linux,Family Sharing | Multi-player | Online PvP | PvP | Remote Play Together | Shared/Split Screen PvP | Valve Anti-Cheat enabled,3.99,2542,524,Very Positive,3066,0.829093281,,2218,FALSE
50,Half-Life: Opposing Force,01/11/99,Action,1990's | Action | Adventure | Aliens | Atmospheric | Classic | Co-op | FPS | First-Person | Gore | Great Soundtrack | Military | Moddable | Puzzle | Retro | Sci-fi | Shooter | Silent Protagonist | Singleplayer | Story Rich,"Return to the Black Mesa Research Facility as one of the military specialists assigned to eliminate Gordon Freeman. Experience an entirely new episode of single player action. Meet fierce alien opponents, and experiment with new weaponry. Named 'Game of the Year' by the Academy of Interactive Arts and Sciences.",windows | mac | linux,Family Sharing | Multi-player | Remote Play Together | Single-player | Valve Anti-Cheat enabled,3.99,22263,1111,Overwhelmingly Positive,23374,0.952468555,,20144,FALSE
60,Ricochet,01/11/00,Action,3D | Action | Classic | Competitive | Conspiracy | Cult Classic | Cyberpunk | FPS | First-Person | Great Soundtrack | Memes | Multiplayer | Old School | Platformer | Psychological Horror | Retro | Sci-fi | Shooter | Space | Sports,"A futuristic action game that challenges your agility as well as your aim, Ricochet features one-on-one and team matches played in a variety of futuristic battle arenas.",windows | mac | linux,Family Sharing | Multi-player | Online PvP | PvP | Valve Anti-Cheat enabled,3.99,4791,1013,Very Positive,5804,0.825465196,,4145,FALSE
70,Half-Life,08/11/98,Action,1990's | Action | Action-Adventure | Adventure | Aliens | Atmospheric | Classic | Difficult | FPS | First-Person | Gore | Moddable | Multiplayer | PvP | Retro | Sci-fi | Shooter | Silent Protagonist | Singleplayer | Story Rich,"Named Game of the Year by over 50 publications, Valve's debut title blends action and adventure with award-winning technology to create a frighteningly realistic world where players must think to survive. Also includes an exciting multiplayer mode that allows you to play against friends and enemies around the world.",windows | mac | linux,Family Sharing | Full controller support | Multi-player | Online PvP | PvP | Remote Play Together | Remote Play on Phone | Remote Play on Tablet | Single-player | Steam Cloud | Valve Anti-Cheat enabled,7.19,129364,4652,Overwhelmingly Positive,134016,0.965287727,96,95770,FALSE
80,Counter-Strike: Condition Zero,01/03/04,Action,Action | Adventure | Atmospheric | Classic | Competitive | Dark | FPS | First-Person | Military | Multiplayer | Old School | Online Co-Op | Open World | Shooter | Simulation | Singleplayer | Strategy | Survival | Tactical | Team-Based,"With its extensive Tour of Duty campaign, a near-limitless number of skirmish modes, updates and new content for Counter-Strike's award-winning multiplayer game play, plus over 12 bonus single player missions, Counter-Strike: Condition Zero is a tremendous offering of single and multiplayer content.",windows | mac | linux,Family Sharing | Multi-player | Single-player | Valve Anti-Cheat enabled,7.19,23316,2220,Very Positive,25536,0.91306391,65,18898,FALSE
130,Half-Life: Blue Shift,01/06/01,Action,1990's | Action | Adventure | Aliens | Atmospheric | Classic | FPS | First-Person | Great Soundtrack | Moddable | Puzzle | Retro | Sci-fi | Shooter | Short | Silent Protagonist | Singleplayer | Story Rich | Violent | Zombies,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",windows | mac | linux,Family Sharing | Remote Play Together | Single-player,3.99,15859,1330,Very Positive,17189,0.922624935,71,14830,FALSE
220,Half-Life 2,16/11/04,Action,Action | Adventure | Aliens | Atmospheric | Classic | Dystopian | FPS | First-Person | Great Soundtrack | Horror | Moddable | Multiplayer | Physics | Puzzle | Sci-fi | Shooter | Silent Protagonist | Singleplayer | Story Rich | Zombies,"1998. HALF-LIFE sends a shock through the game industry with its combination of pounding action and continuous, immersive storytelling. Valve's debut title wins more than 50 game-of-the-year awards on its way to being named &quot;Best PC Game Ever&quot; by PC Gamer, and launches a franchise with more than eight million retail units sold...",windows | mac | linux,Captions available | Family Sharing | Full controller support | Includes Source SDK | Remote Play Together | Remote Play on Phone | Remote Play on Tablet | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards,7.19,196153,4851,Overwhelmingly Positive,201004,0.975866152,96,159918,FALSE
