app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
730,Counter-Strike: Global Offensive,21/08/12,Akcja | Free to Play,Action | Co-op | Competitive | Difficult | FPS | Fast-Paced | First-Person | Military | Moddable | Multiplayer | Online Co-Op | PvP | Realistic | Shooter | Strategy | Tactical | Team-Based | Trading | War | eSports,Od ponad 20 lat Counter-Strike oferuje elitarną rozgrywkę rywalizacyjną ukształtowaną przez miliony graczy z całego świata. A już teraz rozpoczyna się kolejny rozdział w historii CS. Oto Counter-Strike 2.,windows | mac | linux,Karty kolekcjonerskie Steam | Oś czasu Steam | Remote Play na tablecie | Remote Play na telefonie | Remote Play na telewizorze | Statystyki | Warsztat Steam | Wieloosobowa | Wieloplatformowa wieloosobowa | Włączona funkcja Anti-Cheat | Zakupy w aplikacji,0,7271193,1089297,Very Positive,8360490,0.869708952,,4248820,TRUE
359550,Tom Clancy's Rainbow Six® Siege,01/12/15,Action,3D | Action | Co-op | Competitive | Destruction | Difficult | FPS | First-Person | Hero Shooter | Military | Multiplayer | Online Co-Op | PvP | Realistic | Shooter | Strategy | Tactical | Team-Based | War | eSports,"Tom Clancy‘s Rainbow Six® Siege ist ein taktischer, teambasierter Elite-Shooter, bei dem die bessere Planung und Durchführung den Sieg bringt.",windows,Einzelspieler | Koop | Käufe im Spiel | Mehrspieler | Online-Koop | Online-PvP | PvP | Remote Play auf Smartphones | Remote Play auf Tablets | Steam-Sammelkarten | Volle Controllerunterstützung,16.99,1123316,205232,Very Positive,1328548,0.845521577,,1127178,FALSE
440,Team Fortress 2,10/10/07,Action | Free To Play,Action | Cartoon | Cartoony | Class-Based | Co-op | Comedy | Competitive | Crafting | FPS | First-Person | Free to Play | Funny | Hero Shooter | Multiplayer | Online Co-Op | Robots | Shooter | Tactical | Team-Based | Trading,"Nine distinct classes provide a broad range of tactical abilities and personalities. Constantly updated with new game modes, maps, equipment and, most importantly, hats!",windows | mac | linux,Captions available | Commentary available | Cross-Platform Multiplayer | In-App Purchases | Includes level editor | Multi-player | Partial Controller Support | Remote Play on Phone | Remote Play on Tablet | Stats | Steam Achievements | Steam Trading Cards | Steam Workshop | Valve Anti-Cheat enabled,0,990978,130730,Very Positive,1121708,0.883454518,92,38824,TRUE
252490,Rust,08/02/18,Action | Adventure | Indie | Massively Multiplayer | RPG,Action | Adventure | Building | Co-op | Crafting | Early Access | FPS | First-Person | Indie | Multiplayer | Nudity | Online Co-Op | Open World | Open World Survival Craft | Post-apocalyptic | PvP | Sandbox | Shooter | Simulation | Survival,"The only aim in Rust is to survive. Everything wants you to die - the island’s wildlife and other inhabitants, the environment, other survivors. Do whatever it takes to last another night.",windows | mac,Co-op | Cross-Platform Multiplayer | In-App Purchases | MMO | Multi-player | Online Co-op | Online PvP | PvP | Remote Play on Tablet | Stats | Steam Achievements | Steam Trading Cards | Steam Workshop | Valve Anti-Cheat enabled,27.79,972209,144136,Very Positive,1116345,0.870885792,69,921881,FALSE
4000,Garry's Mod,29/11/06,Casual | Indie | Simulation,Action | Building | Casual | Co-op | Comedy | Exploration | FPS | First-Person | Funny | Indie | Moddable | Multiplayer | Online Co-Op | Physics | PvP | Realistic | Sandbox | Shooter | Simulation | Singleplayer,Garry's Mod is a physics sandbox. There aren't any predefined aims or goals. We give you the tools and leave you to play.,windows | mac | linux,Captions available | Co-op | Cross-Platform Multiplayer | Family Sharing | Includes Source SDK | Includes level editor | LAN Co-op | LAN PvP | Multi-player | Online Co-op | Online PvP | PvP | Remote Play on Tablet | Single-player | Steam Achievements | Steam Cloud | Steam Trading Cards | Steam Workshop | Valve Anti-Cheat enabled,6.99,1068744,35967,Overwhelmingly Positive,1104711,0.967442164,,949746,FALSE
550,Left 4 Dead 2,19/11/09,Action,Action | Adventure | Co-op | FPS | First-Person | Gore | Horror | Local Co-Op | Moddable | Multiplayer | Online Co-Op | Post-apocalyptic | Replay Value | Shooter | Singleplayer | Survival | Survival Horror | Tactical | Team-Based | Zombies,"Set in the zombie apocalypse, Left 4 Dead 2 (L4D2) is the highly anticipated sequel to the award-winning Left 4 Dead, the #1 co-op game of 2008. This co-operative action horror FPS takes you and your friends through the cities, swamps and cemeteries of the Deep South, from Savannah to New Orleans across five expansive campaigns.",windows | mac | linux,Captions available | Co-op | Commentary available | Family Sharing | Full controller support | Includes Source SDK | Multi-player | Online Co-op | Online PvP | PvP | Remote Play Together | Remote Play on Phone | Remote Play on TV | Remote Play on Tablet | Single-player | Stats | Steam Achievements | Steam Cloud | Steam Timeline | Steam Trading Cards | Steam Workshop | Valve Anti-Cheat enabled,7.19,870143,22238,Overwhelmingly Positive,892381,0.975080151,89,674128,FALSE
431960,Wallpaper Engine,16/11/18,Animation & Modeling | Casual | Design & Illustration | Indie | Photo Editing | Utilities,Action | Animation & Modeling | Anime | Cute | Design & Illustration | Early Access | First-Person | Funny | Game Development | Gaming | Horror | Indie | Mature | Memes | NSFW | Photo Editing | Sandbox | Singleplayer | Software | Utilities,Use stunning live wallpapers on your desktop. Animate your own images to create new wallpapers or import videos/websites and share them on the Steam Workshop!,windows,Includes level editor | Steam Achievements | Steam Trading Cards | Steam Workshop,2.79,813993,16223,Overwhelmingly Positive,830216,0.980459302,,768741,FALSE
292030,The Witcher® 3: Wild Hunt,18/05/15,RPG,Action | Action RPG | Adventure | Atmospheric | Choices Matter | Dark | Dark Fantasy | Fantasy | Great Soundtrack | Magic | Mature | Medieval | Multiple Endings | Nudity | Open World | RPG | Sandbox | Singleplayer | Story Rich | Third Person,"Vous incarnez Geralt de Riv, un tueur de monstres. Devant vous s'étend un continent en guerre, infesté de monstres, à explorer à votre guise. Votre contrat actuel ? Retrouver Ciri, l'enfant de la prophétie, une arme vivante capable de changer le monde.",windows,Cartes à échanger Steam | Compat. contrôleurs partielle | Partage familial | Remote Play sur tablette | Remote Play sur télévision | Solo | Steam Cloud | Succès Steam | Workshop Steam,24.99,763833,25209,Overwhelmingly Positive,789042,0.96805113,93,740265,FALSE
381210,Dead by Daylight,14/06/16,Action,Action | Atmospheric | Blood | Co-op | Comedy | Difficult | First-Person | Gore | Horror | Mature | Multiplayer | Online Co-Op | Psychological Horror | Stealth | Strategy | Survival | Survival Horror | Team-Based | Third Person | Violent,"Dead by Daylight is a multiplayer (4vs1) horror game where one player takes on the role of the savage Killer, and the other four players play as Survivors, trying to escape the Killer and avoid being caught and killed.",windows,Co-op | Cross-Platform Multiplayer | Family Sharing | Full controller support | Multi-player | Online Co-op | Online PvP | PvP | Remote Play on Phone | Remote Play on TV | Remote Play on Tablet | Steam Achievements | Steam Cloud | Steam Trading Cards,14.99,603528,147480,Very Positive,751008,0.803623929,,543209,FALSE
945360,Among Us,16/11/18,Casual,2D | Action | Aliens | Cartoony | Casual | Co-op | Colorful | Funny | Local Multiplayer | Minigames | Multiplayer | Online Co-Op | Party Game | Psychological | PvP | Sci-fi | Social Deduction | Space | Survival | Top-Down,An online and local party game of teamwork and betrayal for 4-15 players...in space!,windows,Co-op | Cross-Platform Multiplayer | Family Sharing | Full controller support | LAN Co-op | LAN PvP | Multi-player | Online Co-op | Online PvP | PvP | Remote Play on Phone | Remote Play on Tablet,3.99,634405,56649,Very Positive,691054,0.918025219,85,607719,FALSE
