app_id,name,price,genres,tags,platforms,positive_review_ratio,num_reviews
100000,Game_0,48.33,Action,Competitive|Multiplayer,Linux,0.95,55916
100001,Game_1,48.16,Sports|Simulation,Story Rich|Co-op|Multiplayer|Competitive,Mac,0.67,32913
100002,Game_2,28.05,Adventure,Open World|Co-op|Story Rich|Singleplayer,Linux|Mac|Windows,0.87,68691
100003,Game_3,4.27,Simulation,Story Rich|Multiplayer|Open World,Mac|Linux|Windows,0.82,79780
100004,Game_4,5.3,Adventure|Strategy|RPG,Co-op|Multiplayer|Singleplayer,Windows,0.73,25051
100005,Game_5,59.75,Strategy|Sports|Simulation,Co-op|Story Rich,Mac|Windows|Linux,0.87,57954
100006,Game_6,15.94,Sports|Action|Adventure,Open World|Co-op|Multiplayer|Singleplayer,Mac,0.61,55957
100007,Game_7,42.65,Strategy|Action|Sports,Competitive|Story Rich,Linux|Mac,0.85,5644
100008,Game_8,51.26,Simulation|Adventure|RPG,Multiplayer|Singleplayer|Story Rich|Competitive,Mac,0.73,67267
100009,Game_9,38.91,Strategy,Story Rich|Open World|Multiplayer,Mac|Linux,0.72,23616
100010,Game_10,18.14,Sports|Action,Competitive|Story Rich|Singleplayer|Multiplayer,Linux|Windows,0.76,31602
100011,Game_11,38.31,RPG,Open World|Multiplayer|Co-op|Competitive,Linux|Mac,0.82,33358
100012,Game_12,14.85,Simulation|Strategy,Open World|Singleplayer|Co-op|Competitive,Windows|Mac,0.69,64449
100013,Game_13,6.26,Indie|Adventure,Co-op|Singleplayer,Windows|Linux|Mac,0.9,59517
100014,Game_14,27.77,Strategy|Action,Singleplayer|Story Rich|Open World,Windows,0.9,80692
100015,Game_15,11.43,Simulation|Action|Indie,Competitive|Story Rich,Linux|Mac|Windows,0.66,12499
100016,Game_16,36.08,Strategy|Simulation|RPG,Multiplayer|Open World|Co-op|Story Rich,Linux,0.76,11409
100017,Game_17,3.79,Strategy,Open World|Story Rich|Multiplayer,Linux|Windows,0.75,88730
100018,Game_18,9.35,Adventure|Indie|Simulation,Competitive|Multiplayer|Co-op|Story Rich,Windows|Linux,0.93,37196
100019,Game_19,38.44,Indie|Adventure,Multiplayer|Co-op|Story Rich|Open World,Windows,0.84,59885
100020,Game_20,18.26,Action|RPG,Open World|Competitive|Singleplayer,Windows|Linux|Mac,0.74,34351
100021,Game_21,49.4,Simulation,Multiplayer|Singleplayer,Mac,0.76,22056
100022,Game_22,52.93,Adventure|Indie|RPG,Singleplayer|Co-op|Competitive,Mac,0.77,60585
100023,Game_23,25.29,Action|Adventure,Story Rich|Competitive|Multiplayer,Windows|Mac|Linux,0.69,23482
100024,Game_24,0.24,RPG|Action|Simulation,Multiplayer|Competitive,Linux|Windows|Mac,0.73,16316
100025,Game_25,5.13,Action|Sports|RPG,Story Rich|Open World|Singleplayer,Windows|Linux,0.83,86110
