user_id,liked_games,preferred_genres,budget
1,102403|103986|103258,Indie|Adventure,10
2,100812|101480|103295|102862|100570,Adventure|Action,48
3,103166|103327|101096|103889|102901,Strategy,41
4,100704|100850|101306,Simulation,50
5,102256|103437|103119|102762,Action,45
6,101251|100310,Simulation|Adventure,11
7,102362|102914|101928,Indie,57
8,103916|101235|103319|103295,Strategy|Simulation,33
9,100896|102587|103757|102856|102654,Indie|Action,60
10,103207|102096|100217,Action|Adventure,13
11,100450|103005,Action|Simulation,40
12,101284|103295,Sports,16
13,102857|102443|102878,Action,22
14,102333|101066|100171|101294,Action,27
15,100815|102112|102719,Simulation|RPG,60
16,100499|101727|103411|101665|102259,Sports|Strategy,36
17,103825|102948|100331,Indie|Simulation,42
18,103664|100992|102704|102762|100020,Strategy|Simulation,35
19,102120|100059|100781|101708|101181,Simulation,45
20,101743|103896|102980|100399|103345,RPG,60
21,103264|100695,Action,56
22,100144|100759,RPG|Adventure,39
23,100868|101331|100119|101524|103142,Indie|Adventure,26
24,101087|100166|100318|100904,Simulation,27
25,103393|100508,Adventure,30
26,101285|103718|101145|103421,Action|Strategy,14
27,103950|102672|101737|101662|100977,Simulation,60
28,100192|101892|101979|101679|102115,Indie,35
29,103592|100220|101202,Adventure,42
30,101602|103417,Sports,54
31,102576|103533|103226,Indie|Strategy,34
32,102382|100068|103429|103797|100616,Action|Indie,27
33,100097|100366|100236|101639|100509,Simulation,32
34,103157|101128|101165,Adventure,38
35,103583|101191|100040|101506,Indie,45
36,102069|101852,Sports,30
37,100753|102836|102535|103446|102092,Indie,27
38,103239|102535|102813|103516|101549,Indie,53
39,101839|102991|102616|101340,Simulation|Indie,60
40,101901|103763|101833,Action|RPG,40
41,101025|102056|102714|101623,RPG|Adventure,20
42,102844|103629|103278,Indie|RPG,44
43,102195|100658|100172|100013,Strategy|Adventure,11
44,101757|100727,Action|Sports,25
45,102491|100049|101019|102204,Action,28
46,102494|101686|100663,Adventure|Indie,41
47,103581|101202|102655|101907|100795,Indie|RPG,49
48,101693|101724,Sports,30
49,101357|103165,Indie,12
50,102221|103280,Indie,11
51,101050|102869|103896,Strategy|Indie,50
52,100522|102365,Indie|Sports,60
53,101159|101661|101641|101115,Indie|Adventure,53
54,100634|100286|101664|101448,Adventure,24
55,102269|100056|102865,RPG,17
56,103219|103597|100060,Indie|RPG,29
57,100204|100865|100996|103422,Indie|Strategy,58
58,103719|103030,Simulation|Action,48
59,103318|103191|102857|103440|100942,Adventure|Action,14
60,103484|100116,Adventure|Sports,57
61,101853|103246|101683,Indie,20
62,100800|103968|101460|100877,Sports,43
63,102436|103325|103744|100339,Strategy,33
64,100445|102812|103276,Indie|Adventure,15
65,103584|101172|100926,Action|Sports,16
66,102114|102179,Indie|Simulation,20
67,102806|102195,Adventure|Indie,28
68,101316|102674|100178|103149|101919,Strategy,51
69,103610|100874|100402|103155|103583,Simulation|Indie,39
70,100194|100979|103326|101848,RPG|Simulation,26
71,101632|103983|100055|101318,Strategy|RPG,15
72,102433|101178,Indie|Action,25
73,101374|103037|100966|103391|101346,Adventure,26
74,102129|101341|101096|102014,Adventure|Action,55
75,103201|100799|101561,RPG,58
76,102299|101081|100408,Adventure,44
77,103040|101470|103073|103746,RPG,47
78,100166|100343|102400|101117,Strategy|Simulation,29
79,100980|101802,Adventure|Simulation,30
80,102615|100116|102078|103622,Sports,13
81,103874|102278|100125|102244,Adventure,20
82,101354|100495|103526,Adventure|Sports,46
83,100699|101150,Sports,24
84,101614|102582|103094|102598|101947,Action,43
85,100026|102919,Indie|Adventure,52
86,100232|102802,Simulation|Strategy,49
87,101824|100612|100639|103032,Adventure|Simulation,19
88,100608|100403|102451|103269,Sports,19
89,103913|100268,Action,34
90,103320|100933|100240|100371,Action|RPG,34
91,103208|101483|102189,Action|Strategy,25
92,103369|102951|102220|102486,Action,53
93,101439|102557|103788|102228|102108,Strategy,23
94,101877|101084,Indie,39
95,100945|100066|100860|100419,Action,49
96,102548|102796|100910|100990,Action,59
97,103591|103227|100994|100911,Strategy,60
98,102136|103235|102242|102368|101122,Sports,27
99,103330|102916,Strategy,31
100,103417|102201,Adventure|Action,11
101,103561|100536|102759|103759|101537,Adventure|Sports,58
102,100229|102407|103561,RPG,49
103,100635|102417|101699,Simulation,59
104,102082|102764|103952,Action|Adventure,30
105,102686|100799|101465|103840,Indie|Simulation,32
106,101026|103450,Strategy|Sports,24
107,103612|100274|100654|101964|101657,Indie|Strategy,26
108,100536|102014|102637,Sports|Adventure,26
109,100981|100623|102191|101293,Strategy,26
110,102974|102081|100380|102910|102364,Sports,56
111,101641|101402|103649|100599|103613,Indie|Simulation,27
112,103764|102898|101932,Simulation,31
113,103185|102393|103581|101962,Action,22
114,101704|102047|103153,Adventure,38
115,103333|101829|103519|102809|102377,Action,12
116,102738|102432|102540,Sports|Indie,41
117,103113|100927|100780,Adventure,41
118,101587|101526|103089,Action|RPG,31
119,102662|101851|100484|103363|100609,Strategy|Indie,46
120,102451|101425|100994|101247|102244,Simulation,54
