app_id,name,release_date,game_genre,tags,summary,platform,categories,price,num_positive_review,num_negative_review,review_score_description,total_reviews,positive_ratio,metacritic_score,recommendations,is_free
413350,Daydream Blue,25/01/17,Adventure | Casual | Indie,Adventure | Casual | Indie | VR,"Escape into a vibrant world of whimsy, wonder, and new friends.",windows,Cross-Platform Multiplayer | Family Sharing | Full controller support | Multi-player | Online PvP | PvP | Single-player | Steam Achievements | VR Only,3.99,0.0,2.0,2 user reviews,2.0,0.0,,,False
424030,War of Rights,03/12/18,Action | Early Access | Indie | Simulation | Strategy,Action | America | Early Access | FPS | First-Person | Gore | Historical | Indie | Massively Multiplayer | Mature | Military | Multiplayer | Realistic | Shooter | Simulation | Singleplayer | Strategy | Tactical | Violent | War,"War of Rights is a first person multiplayer game featuring massive 350 player battles with a focus on historical authenticity, teamplay and immersion. It is set during the perilous days of the American Civil War, in the Maryland Campaign of September, 1862.",windows,Co-op | Family Sharing | Multi-player | Online Co-op | Online PvP | Partial Controller Support | PvP | Steam Trading Cards,23.79,10749.0,1423.0,Very Positive,12172.0,0.883092343,,10696.0,False
644550,篱笆庄秘闻 / Mysteries of Fence,27/07/17,Adventure | Casual | Indie | RPG | Simulation | Strategy,Adventure | Casual | Indie | RPG | Simulation | Strategy | Visual Novel,"This game records the unknown pain and struggles in the far eastern country, we hope our descendants won't forget these tragedies happened before.",windows,Family Sharing | Single-player | Steam Achievements,2.79,260.0,29.0,Very Positive,289.0,0.899653979,,275.0,False
734550,Wheel Riders Online OBT,27/12/17,Action | Free To Play | Massively Multiplayer | Racing,Action | Free to Play | Massively Multiplayer | Open World | Racing,"Wheel Riders Online - Survival Racing. You will build your own mode transportation using the parts in your garage and battle other players online! A very entertaining automobile building system is waiting for you, don't let your fantasy limit you; moreover, those constant improvements are adding to your abilities.",windows,Co-op | In-App Purchases | Multi-player | Online Co-op | Online PvP | Partial Controller Support | PvP | Steam Trading Cards,0.0,69.0,186.0,Mostly Negative,255.0,0.270588235,,,True
982760,Medieval Towns,15/03/19,Action | Adventure | Early Access | Indie | Massively Multiplayer,Action | Adventure | Base Building | Building | Co-op | Crafting | Early Access | First-Person | Indie | Massively Multiplayer | Medieval | Multiplayer | Nature | Open World | Open World Survival Craft | PvP | Realistic | Sandbox | Survival | Swordplay,"A multiplayer game in medieval setting about survival, diplomacy, building of towns and conquests. Try to survive in wild nature, gather resources, create or join guild, build town and fight for glory or resources!",windows,Co-op | Family Sharing | Multi-player | Online Co-op | Online PvP | PvP,11.39,10.0,13.0,Mixed,23.0,0.434782609,,,False
99410,Garshasp: Temple of the Dragon,24/09/12,Action | Indie,Action | Fantasy | Hack and Slash | Indie,"The mighty mythological hero, Garshasp, travels into distant lands in search for the secrets hidden in the temple of the dragon, unaware of the hidden dangers and creatures awaiting him in the cursed lands.",windows,Family Sharing | Partial Controller Support | Single-player,3.99,45.0,95.0,Mostly Negative,140.0,0.321428571,,,False
593400,Float Gallery,19/07/17,Casual | Free To Play | Simulation,Casual | Free to Play | Simulation | VR,"Float Gallery shows the work of artists working in the digital realm and supports aesthetic and cultural practice in virtual environments. By nature, we define ourselves as a global endeavor, resolving boarders and blending realities in the search of new forms of being, discourse and organization.",windows,Single-player | Tracked Controller Support | VR Only,0.0,14.0,6.0,Mostly Positive,20.0,0.7,,,True
689100,Ravager,01/09/17,Action | Adventure | Indie,Action | Adventure | Indie | Platformer,"Ravager is a 2D Open World Platformer with 12 unique characters to ravage your way across the land. Each character has different upgrade abilities to fight against the army of Crows and Trolls, who are trying to unleash the Nidhoggr into the world.",windows,Family Sharing | Single-player | Steam Cloud,5.99,10.0,16.0,Mostly Negative,26.0,0.384615385,,,False
861510,Sail Ships,04/06/18,Indie,3D | Action | Arcade | Casual | Combat | Indie | Naval | Naval Combat | Open World | Pirates | Sailing | Simulation | Singleplayer | Strategy | Vehicular Combat,Sail ship battles. Navigation with compass and world map. Tactical looting enemy ships (controllable characters and three types of weapons). Trading with different goods and prices. You can create the design of your own ship from different parts.,windows,Family Sharing | Single-player,1.69,0.0,3.0,3 user reviews,3.0,0.0,,,False
485650,Campaign Clicker,05/10/16,Casual | Free To Play | Indie,Casual | Clicker | Free to Play | Funny | Indie | Pixel Graphics | Politics | Singleplayer,Democrats Vs Republicans! It's the political battle of the decade!,windows,In-App Purchases | Partial Controller Support | Single-player | Steam Achievements | Steam Cloud | Steam Leaderboards | Steam Trading Cards,0.0,194.0,208.0,Mixed,402.0,0.482587065,,,True
399040,Legends of Solitaire: Curse of the Dragons,28/09/15,Casual | Indie,Card Game | Casual | Indie | Solitaire,"Once, the Solitaire Kingdom fell under a dark curse. To restore its former glory, you must embark on a quest to defeat the dragons! Gather allies, trade coins at the blacksmith's workshop, and claim victory over these fierce beasts to lift the curse and save the kingdom! Your adventure awaits!",windows,Family Sharing | Single-player | Steam Achievements | Steam Trading Cards,3.99,104.0,17.0,Very Positive,121.0,0.859504132,,,False
